date,event,pair,side,ret,pnl,equity,dd
2022-10-03,open,MARUTI_MM,LONG_Y,0.027858786439243444,0.0,425910.8423020838,-0.004922410140614342
2022-10-04,open,RELIANCE_ONGC,LONG_Y,0.032784150638560855,0.0,425910.8423020838,-0.004922410140614342
2022-10-07,close,MARUTI_MM,LONG_Y,0.027858786439243444,2966.3397994630113,428877.1821015468,0.0
2022-10-11,open,SBI_AXIS,LONG_Y,0.02043744161393618,0.0,428877.1821015468,0.0
2022-10-13,open,SUN_CIPLA,SHORT_Y,0.018302824353365832,0.0,428877.1821015468,0.0
2022-10-17,close,RELIANCE_ONGC,LONG_Y,0.032784150638560855,3490.781303156963,432367.96340470377,0.0
2022-10-17,open,TCS_INFY,LONG_Y,-0.01479911145793078,0.0,432367.96340470377,0.0
2022-10-18,close,SBI_AXIS,LONG_Y,0.02043744161393618,2191.2880921874594,434559.2514968912,0.0
2022-10-18,open,RELIANCE_BPCL,SHORT_Y,0.020339097330677236,0.0,434559.2514968912,0.0
2022-10-28,close,SUN_CIPLA,SHORT_Y,0.018302824353365832,1962.415933292776,436521.66743018397,0.0
2022-10-25,close,RELIANCE_BPCL,SHORT_Y,0.020339097330677236,2209.6357280353795,438731.3031582193,0.0
2022-10-31,open,RELIANCE_BPCL,SHORT_Y,-0.004005821270981813,0.0,438731.3031582193,0.0
2022-11-01,close,TCS_INFY,LONG_Y,-0.01479911145793078,-1599.665420316187,437131.63773790316,-0.003646116447130421
2022-11-02,open,SUN_CIPLA,SHORT_Y,0.001803061903849601,0.0,437131.63773790316,-0.003646116447130421
2022-11-04,open,ICICI_SBI,LONG_Y,0.005572826326497693,0.0,437131.63773790316,-0.003646116447130421
2022-11-15,close,RELIANCE_BPCL,SHORT_Y,-0.004005821270981813,-439.3697966091913,436692.26794129395,-0.004647571764875957
2022-11-15,open,HDFC_KOTAK,SHORT_Y,0.014954804097639468,0.0,436692.26794129395,-0.004647571764875957
2022-11-17,close,SUN_CIPLA,SHORT_Y,0.001803061903849601,197.04385074314945,436889.3117920371,-0.00419844983232931
2022-11-17,close,ICICI_SBI,LONG_Y,0.005572826326497693,609.0146747327098,437498.3264667698,-0.00281032304413642
