side,hold,ret,reason,entry_z,symbol
SHORT,2,-0.01540184423078054,cut_wrong,2.331143797278221,BHARTIARTL
SHORT,2,-0.049824938936838446,cut_wrong,2.1358345342159284,BHARTIARTL
LONG,1,-0.011205521873526213,stop,-3.840144178563165,BHARTIARTL
LONG,4,0.009669085519631533,time,-3.1687538480184,BHARTIARTL
SHORT,2,0.03331649165132011,mean_revert,2.0560567983841294,BHARTIARTL
SHORT,2,0.025058586880616403,mean_revert,2.090821532908269,BHARTIARTL
SHORT,4,-0.020836967498003397,cut_wrong,2.0766585648975893,BHARTIARTL
SHORT,4,0.02419325624001611,time,3.8277305561790382,BHARTIARTL
SHORT,2,-0.011361689109338557,cut_wrong,2.412199089437948,BHARTIARTL
LONG,2,-0.008775800561533579,cut_wrong,-2.0096308317697615,BHARTIARTL
SHORT,2,-0.022726144405943782,cut_wrong,2.1432807341304847,BHARTIARTL
SHORT,4,-0.0025647982171546177,cut_wrong,2.716341598238498,BHARTIARTL
SHORT,3,-0.010516322889619895,cut_wrong,2.12001349511158,BHARTIARTL
SHORT,4,-0.02139160948907597,cut_wrong,2.240799006026696,BHARTIARTL
SHORT,1,-0.027117740990860718,stop,4.175715982022457,BHARTIARTL
SHORT,3,-0.007879721516679256,cut_wrong,3.018395333810247,BHARTIARTL
SHORT,2,-0.02059910683128182,cut_wrong,2.845843180253591,BHARTIARTL
SHORT,4,0.0193795308972495,time,2.044824671830913,BHARTIARTL
SHORT,2,-0.04247089283079531,cut_wrong,2.1579347647507925,BHARTIARTL
SHORT,2,-0.01644563658820115,cut_wrong,2.210926024440076,BHARTIARTL
SHORT,4,-0.004597540009176532,cut_wrong,2.207524209478809,BHARTIARTL
SHORT,2,-0.00956222903357099,cut_wrong,2.4331105032050506,BHARTIARTL
SHORT,4,0.012554669824319619,time,2.518343151970188,BHARTIARTL
SHORT,4,0.01628124776929626,time,2.5821378665602666,BHARTIARTL
LONG,2,-0.0014418703360983872,cut_wrong,-2.3369109194904274,BHARTIARTL
SHORT,2,-0.03035250425962624,cut_wrong,2.098266113008835,BHARTIARTL
SHORT,2,-0.011956784300693555,cut_wrong,2.2127700435526787,BHARTIARTL
SHORT,2,-0.0070716276094436115,cut_wrong,2.060765567708265,BHARTIARTL
SHORT,4,0.03806410485250029,mean_revert,2.3873536055851794,BHARTIARTL
SHORT,2,0.02142809629724144,mean_revert,2.366114598516637,BHARTIARTL
SHORT,2,-0.009493779411968412,cut_wrong,2.3321882116595787,BHARTIARTL
SHORT,2,0.05248965083821504,mean_revert,3.935479773646927,BHARTIARTL
SHORT,2,-0.0025746854565863652,cut_wrong,2.5393999595517798,BHARTIARTL
SHORT,1,0.01822519257937844,mean_revert,2.2699412530029313,BHARTIARTL
LONG,2,-0.001965564106631982,cut_wrong,-2.0036306835512283,BHARTIARTL
LONG,3,-0.000639882063208988,mean_revert,-2.280596685535473,BHARTIARTL
LONG,2,-0.006273198592927439,cut_wrong,-2.0241614141356195,BHARTIARTL
LONG,2,0.01849598114796937,mean_revert,-2.1343075374382323,BHARTIARTL
SHORT,2,-0.010923414263138732,cut_wrong,2.097005224550096,BHARTIARTL
SHORT,4,-0.002973688460129616,cut_wrong,2.289516208378392,BHARTIARTL
LONG,2,-0.006544334900367864,cut_wrong,-2.017952858288186,BHARTIARTL
LONG,3,0.07064507572233675,mean_revert,-2.3573516859156673,BHARTIARTL
SHORT,4,0.0345869352490692,time,2.7070041897893566,BHARTIARTL
SHORT,2,0.012210787557449794,stop,2.276891299672844,ICICIBANK
SHORT,4,-0.009697381113996949,cut_wrong,3.10317807856232,ICICIBANK
LONG,4,0.03677548337741563,time,-2.0790101259120832,ICICIBANK
LONG,2,-0.0057658540867163745,cut_wrong,-2.2228837893250333,ICICIBANK
SHORT,2,-0.03687377915227285,stop,2.263088353121581,ICICIBANK
SHORT,4,-0.01542206267113002,cut_wrong,2.9482459536888275,ICICIBANK
SHORT,3,-0.01614613817522738,cut_wrong,2.1417406327051993,ICICIBANK
SHORT,2,-0.0070839869954182205,cut_wrong,3.0904489295510666,ICICIBANK
SHORT,4,0.06515421022640616,time,2.0595350459494393,ICICIBANK
SHORT,2,-0.01358912077755917,cut_wrong,2.0017198285522966,ICICIBANK
